GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
Overall,1996-97,82,20,62,0.244,54.3,38.9,87.9,0.442,5.2,16.2,0.32,19.1,26.5,0.719,15.1,29.3,44.4,22.9,17.1,8.9,5.9,6.2,24.3,0.2,102.1,-8.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,1996-97
Overall,1997-98,82,56,26,0.683,53.5,39.1,83.5,0.468,4.1,11.7,0.35,20.1,29.2,0.688,13.3,35.6,48.9,24.8,17.8,7.0,7.7,5.1,23.4,0.2,102.4,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,1997-98
Overall,1998-99,50,37,13,0.74,53.5,38.5,84.4,0.456,3.8,11.5,0.33,21.9,31.3,0.698,13.6,35.1,48.7,24.4,16.8,9.3,7.8,5.4,22.4,0.1,102.7,8.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,1998-99
Overall,1999-00,82,53,29,0.646,52.1,38.7,83.9,0.462,4.3,11.6,0.374,21.7,29.1,0.746,12.2,35.0,47.2,23.9,16.2,8.1,7.2,5.6,22.5,2.1,103.5,6.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,1999-00
Overall,2000-01,82,58,24,0.707,52.8,38.4,83.3,0.461,5.9,14.6,0.407,22.3,31.1,0.715,12.0,36.1,48.1,23.7,15.2,7.6,7.7,5.7,20.6,0.0,105.0,8.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2000-01
Overall,2001-02,82,58,24,0.707,52.7,38.7,84.5,0.458,5.8,16.1,0.362,22.2,29.9,0.742,12.0,34.1,46.1,21.8,15.7,8.3,7.1,5.7,20.9,0.1,105.4,6.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2001-02
Overall,2002-03,82,60,22,0.732,52.5,38.5,83.3,0.462,5.9,16.8,0.354,21.1,29.0,0.725,12.4,33.8,46.2,21.6,17.1,8.3,7.0,5.6,22.1,0.1,103.9,5.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2002-03
Overall,2003-04,82,57,25,0.695,53.2,38.3,86.6,0.442,5.5,15.3,0.358,19.0,27.9,0.681,13.9,35.9,49.8,22.6,16.2,8.9,7.2,5.1,22.4,0.0,101.0,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2003-04
Overall,2004-05,82,59,23,0.72,53.3,39.3,86.8,0.453,6.8,18.8,0.363,20.6,28.5,0.724,13.3,33.5,46.8,23.8,15.1,8.2,7.3,5.7,23.1,0.1,106.1,8.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2004-05
Overall,2005-06,82,63,19,0.768,53.7,40.5,85.9,0.472,7.1,18.5,0.385,18.0,25.6,0.702,11.5,34.5,46.0,23.3,15.3,7.4,6.3,4.6,23.2,22.9,106.2,7.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2005-06
Overall,2006-07,82,58,24,0.707,53.2,40.3,85.1,0.474,8.0,21.0,0.381,20.0,26.6,0.751,10.2,34.6,44.9,24.4,15.3,7.9,5.6,4.5,21.3,23.4,108.6,9.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2006-07
Overall,2007-08,82,56,26,0.683,53.5,39.8,87.1,0.457,8.1,21.8,0.369,18.3,24.0,0.761,10.5,35.4,45.9,23.3,14.0,7.1,4.6,4.9,20.8,22.0,106.0,5.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2007-08
Overall,2008-09,82,54,28,0.659,53.8,41.1,88.4,0.466,8.5,21.9,0.386,16.9,22.2,0.761,9.8,35.7,45.5,23.5,13.0,6.4,4.4,4.8,20.9,20.4,107.6,4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2008-09
Overall,2009-10,82,50,32,0.61,52.0,41.4,87.6,0.473,7.3,20.3,0.358,19.2,25.9,0.74,11.7,34.5,46.1,24.0,14.7,6.8,5.0,5.5,21.9,22.0,109.3,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2009-10
